isbn,title,author,category,imagelink
0439139597,"Harry Potter and the Goblet of Fire","J. K. Rowling","Juvenile Fiction",http://books.google.com/books/content?id=7Z6XYbS1YFcC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0439249546,"Harry Potter Boxed Set","J. K. Rowling","Juvenile Fiction",http://books.google.com/books/content?id=_lLgPAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
043935806X,"Harry Potter and the Order of the Phoenix","J. K. Rowling","Juvenile Fiction",http://books.google.com/books/content?id=z4OV_nPmO7MC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0440212561,Outlander,"Diana Gabaldon",Fiction,http://books.google.com/books/content?id=IM1nVGX7XU0C&printsec=frontcover&img=1&zoom=5&source=gbs_api
0440336716,"Shopaholic & Baby","Sophie Kinsella",Fiction,http://books.google.com/books/content?id=Lsz51VJ7IVQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
044033750X,"Remember Me?","Sophie Kinsella",Fiction,http://books.google.com/books/content?id=vRY8uYQUjDwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
044033988X,"44 Charles Street","Danielle Steel",Fiction,http://books.google.com/books/content?id=3Lg4l0ZPkdQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0443082820,"Measurement in Physical Therapy","Jules M. Rothstein",Medical,http://books.google.com/books/content?id=Tw5tAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
044809570X,"The Secret of the Old Clock/The Hidden Staircase","Carolyn Keene","Juvenile Fiction",http://books.google.com/books/content?id=tJhI1Pt-IWcC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0451204530,"Code to Zero","Ken Follett",Fiction,http://books.google.com/books/content?id=jWh5lXL38woC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0451207505,Trapped,"Greg Iles",Fiction,http://books.google.com/books/content?id=mNQnPwAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0451208765,"Sleep No More","Greg Iles",Fiction,http://books.google.com/books/content?id=Ov9yvVj19isC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0451215710,Whiteout,"Ken Follett",Fiction,http://books.google.com/books/content?id=x5ZgQ1X8OcAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0451530314,"The Fall of the House of Usher","Edgar Allan Poe",Fiction,http://books.google.com/books/content?id=vVkU6lS2b9QC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0452284406,"One-Hit Wonder","Lisa Jewell",Fiction,http://books.google.com/books/content?id=l16v4W3zJHMC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0471438804,"Power Play","Mike Moriarty","Business & Economics",http://books.google.com/books/content?id=paRdWctt1VMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0471540226,"Healthful Quantity Baking","Maureen Egan",Cooking,http://books.google.com/books/content?id=zbb9pXyaDdEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0472089641,"Women and War","Jenny Matthews",Art,http://books.google.com/books/content?id=feOqlSiF9YQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0478125232,"I Can Write","Fiona Lovatt Davis","Readers (Primary)",http://books.google.com/books/content?id=3smO1W1xBL4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0478246471,"Look at This Mess!","Fiona Lovatt Davis",Orderliness,http://books.google.com/books/content?id=Xcj-jX2oFtoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
051512317X,"Rising Tides","Nora Roberts",Fiction,http://books.google.com/books/content?id=gF7dNWJ0pBUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0515136263,"Chesapeake Blue","Nora Roberts",Fiction,http://books.google.com/books/content?id=_MAziuRLGa0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0515143073,Tripwire,"Lee Child",Fiction,http://books.google.com/books/content?id=XlcSsev4eRwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0517528797,"Making Dollhouse Accessories","Charlene Davis Roth","Miniature craft",http://books.google.com/books/content?id=daeDGLLm_H8C&printsec=frontcover&img=1&zoom=5&source=gbs_api
0520067924,"Thinking in Pictures","Joyce E. Jesionowski","Performing Arts",http://books.google.com/books/content?id=04VYmoBrnOwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0520080270,"The Irish Ulysses","Maria Tymoczko","Literary Criticism",http://books.google.com/books/content?id=YwM6LUgBmfsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0521333393,"Combinatorial Geometries","Neil White",Mathematics,http://books.google.com/books/content?id=xKPZlhqMqnQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0521404797,"White Supremacy and Black Resistance in Pre-industrial South Africa","Clifton C. Crais",History,http://books.google.com/books/content?id=n-u14k7DV7kC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0521409500,"Violence, Terrorism, and Justice","Raymond Gillespie Frey",Philosophy,http://books.google.com/books/content?id=oB77mNaj1aYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
052155876X,"James Joyce and the Question of History","James Fairhall","Literary Criticism",http://books.google.com/books/content?id=yo1Kmcq5GAgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0521817218,"The Politics of Evil","Clifton Crais",History,http://books.google.com/books/content?id=OC2ZnzB4CYUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0525432418,Spoonbenders,"Daryl Gregory",Fiction,http://books.google.com/books/content?id=qVA4tAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0525436588,"The O. Henry Prize Stories 2018","Laura Furman",NULL,http://books.google.com/books/content?id=TEvNtAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0525564918,"Crazy Rich Asians. Movie Tie-In","Kevin Kwan",,http://books.google.com/books/content?id=2E2vtwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0533031311,Perseverance,"Virginia Brooks",Elephantiasis,
0545328861,Dawn,"Kevin Brooks","Juvenile Fiction",http://books.google.com/books/content?id=ep6s9N2GziYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
054538835X,Underdogs,"Markus Zusak","Juvenile Fiction",http://books.google.com/books/content?id=vDt2VxCaijcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0545935172,"Dog Man: Lord of the Fleas: from the Creator of Captain Underpants (Dog Man #5)","Dav Pilkey","Comic books, strips, etc",http://books.google.com/books/content?id=OlKttAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0547349009,"Ruth Law Thrills a Nation","Don Brown","Juvenile Nonfiction",http://books.google.com/books/content?id=hYEbcg_bK3kC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0547349106,"Rare Treasure","Don Brown","Juvenile Nonfiction",http://books.google.com/books/content?id=lLAxUBthti4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0547349750,"Alice Ramsey's Grand Adventure","Don Brown","Juvenile Fiction",http://books.google.com/books/content?id=ctrNz8Uw7VgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0547349793,"One Giant Leap","Don Brown","Juvenile Nonfiction",http://books.google.com/books/content?id=1ros72xtlOkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0553897519,"Lake in the Clouds","Sara Donati",Fiction,http://books.google.com/books/content?id=UrlRPbGCEa0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0553900641,"Fire Along the Sky","Sara Donati",Fiction,http://books.google.com/books/content?id=LHK9A6WTadcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
055390308X,"Queen of Swords","Sara Donati",Fiction,http://books.google.com/books/content?id=C-9n3g2SqcUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0553906801,"The Hunt for Atlantis","Andy McDermott",Fiction,http://books.google.com/books/content?id=pMlIGrXRH_gC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0553906836,"The Covenant of Genesis","Andy McDermott",Fiction,http://books.google.com/books/content?id=NBHPsYWqxqAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0590353403,"Harry Potter and the Sorcerer's Stone","J. K. Rowling","Juvenile Fiction",http://books.google.com/books/content?id=_KezwQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0595840353,"Jump Start Your Day","William Rollings",Religion,http://books.google.com/books/content?id=kui-7NUKeiQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0618040358,"Magid Fasts for Ramadan","Mary Matthews","Juvenile Fiction",http://books.google.com/books/content?id=OYjT8HgdNd8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0618063781,"Building My Zen Garden","Kieran Egan",Gardening,http://books.google.com/books/content?id=59UVVMxi9HwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
061839740X,Remember,"Toni Morrison","Juvenile Nonfiction",http://books.google.com/books/content?id=ni-GdzN0Kd0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0618563709,"Capitol Men","Philip Dray",History,http://books.google.com/books/content?id=yTGb8kNQ1OsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0670011398,Dishes,"Rich Wallace","Juvenile Fiction",http://books.google.com/books/content?id=SDTJ7DiSiJAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0670022411,"A Discovery of Witches","Deborah E. Harkness",Fiction,http://books.google.com/books/content?id=sMVmngEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
067002595X,"Shadow of Night","Deborah E. Harkness","Great Britain",http://books.google.com/books/content?id=1ymDtQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0670038601,"In the Woods","Tana French",Fiction,http://books.google.com/books/content?id=DpcAYPnnBrYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0671527460,"Secret Rules","Carolyn Keene","College students",http://books.google.com/books/content?id=PBn1v3ZLKwoC&printsec=frontcover&img=1&zoom=5&source=gbs_api
067167465X,"Best of Enemies","Carolyn Keene","Juvenile Fiction",http://books.google.com/books/content?id=1_kOIPQcYHAC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0671677616,"Going Too Far","Carolyn Keene","Juvenile Fiction",http://books.google.com/books/content?id=91nvbKwBVpYC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0672324822,"Andrew Rollings and Ernest Adans on Game Design.","Ernest Adams",,
0674002768,"The Harvard Guide to African-American History","Evelyn Brooks Higginbotham","Social Science",http://books.google.com/books/content?id=DCmt2sqJI_YC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0674025482,"Ancient Religions","Sarah Iles JOHNSTON",History,http://books.google.com/books/content?id=b9C7Fvu1VfEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0674203992,Diary,"Charles Francis Adams","Biography & Autobiography",http://books.google.com/books/content?id=QJo0O3LrfygC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
067437262X,"The Harlem Renaissance in Black and White","George Hutchinson","Literary Criticism",http://books.google.com/books/content?id=4g3r4uqthjAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0679722769,Ulysses,"James Joyce",Fiction,http://books.google.com/books/content?id=GRgBOYqR_G4C&printsec=frontcover&img=1&zoom=5&source=gbs_api
0692098526,"THE WAR WITHIN","H. A. Pell",Fiction,http://books.google.com/books/content?id=h0NFtgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0717806804,"Communist Councilman from Harlem","Benjamin J. Davis","Political Science",http://books.google.com/books/content?id=3gb5uBq_gbQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0719040175,"Women in Medieval England","Helen M. Jewell",History,http://books.google.com/books/content?id=ud_BAAAAIAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0720607299,"Adam's Diary","Knut Faldbakken","Family & Relationships",http://books.google.com/books/content?id=7nBTPgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0720609119,Sweetwater,"Knut Faldbakken","Literary Criticism",http://books.google.com/books/content?id=ihePmQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0735713634,"Game Architecture and Design","Andrew Rollings",Computers,http://books.google.com/books/content?id=qFdzalo0ixcC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0736041710,"Mistakes Worth Making","Susan Halden-Brown","Business & Economics",http://books.google.com/books/content?id=VDvZU1j6FLIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0740719084,"It Takes More Than a Carrot and a Stick","Wess Roberts","Business & Economics",http://books.google.com/books/content?id=2OwcMV4WPL4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0740722328,Bridesmaids,"M.B. Roberts","Family & Relationships",http://books.google.com/books/content?id=iOLqUekwkcAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0740747045,"Thank You Kindly","Becky Kelly","Family & Relationships",http://books.google.com/books/content?id=Vl7xTtVy6dsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0742541762,"Government 2.0","William D. Eggers",Computers,http://books.google.com/books/content?id=lj7YtsYW10YC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
074325807X,"Benjamin Franklin","Walter Isaacson","Biography & Autobiography",http://books.google.com/books/content?id=L64OOJGaCKIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0743274830,"A Benjamin Franklin Reader","Walter Isaacson","Biography & Autobiography",http://books.google.com/books/content?id=Y1ltGr-VF-IC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0743454146,"The Footprints of God","Greg Iles",Fiction,http://books.google.com/books/content?id=BkFn-8jmUj4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0743474104,"Going Home","Danielle Steel",Fiction,http://books.google.com/books/content?id=FnJ5mTLVgxAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0748721908,"Christianity and Social Issues","Michael Keene","Christian education",http://books.google.com/books/content?id=ErhzgHph0bMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0748743030,"Physical Geography and People","Peter Webber","Juvenile Nonfiction",http://books.google.com/books/content?id=pwfcyNE2Lz4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
074877159X,"New Steps in Religious Education","Michael Keene",Education,http://books.google.com/books/content?id=qspHmrquD4cC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0752206273,"R.E.M. documental","Dave Bowler",Music,http://books.google.com/books/content?id=dnxxSxAL7w0C&printsec=frontcover&img=1&zoom=5&source=gbs_api
0754623165,"Law and Ecology","Richard Oliver Brooks",Law,http://books.google.com/books/content?id=gfzC9zh7PJ0C&printsec=frontcover&img=1&zoom=5&source=gbs_api
0755381440,"The Vault of Shiva","Andy McDermott",,http://books.google.com/books/content?id=k5qJoAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0758202237,"My Lush Life","Douglas McEwan",Fiction,http://books.google.com/books/content?id=rB3q7dCPHB0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0758240740,Malice,"Lisa Jackson",Fiction,http://books.google.com/books/content?id=WGSUT2EgPywC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0760740054,Mythology,"Timothy Roland Roberts","Social Science",http://books.google.com/books/content?id=_XgJYCkHkdUC&printsec=frontcover&img=1&zoom=5&source=gbs_api
076115079X,"What to Expect when You're Expecting","Heidi Eisenberg Murkoff","Family & Relationships",http://books.google.com/books/content?id=nGVDbFqVSSwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0761151001,"What to Expect the Toddler Years","Arlene Eisenberg","Family & Relationships",http://books.google.com/books/content?id=kjWcn4T6HJcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0761971564,"Discourse Theory and Practice","Margaret Wetherell",Education,http://books.google.com/books/content?id=Vg4q5hRamFsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0763624586,"Fish Swims","Michelle Knudsen","Blue star",http://books.google.com/books/content?id=g-ka5_dJKqcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0763624594,Hide-and-seek,"Michelle Knudsen",Animals,http://books.google.com/books/content?id=CThAJ8N8IVUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0763624616,"Fish Makes Faces","Michelle Knudsen",Animals,http://books.google.com/books/content?id=UmcOetE9p1sC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0763746622,"Introduction to 80 X 86 Assembly Language and Computer Architecture","Richard C. Detmer",Computers,http://books.google.com/books/content?id=809Y9Sac8RgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0765193280,"Ancient Civilizations","Timothy R. Roberts","Civilization, Ancient",http://books.google.com/books/content?id=apYHAAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0766033554,"John Brown","Anne Schraff","Juvenile Nonfiction",http://books.google.com/books/content?id=g9vccT4QhlIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0766040860,"Dark Graphic Tales by Edgar Allan Poe","Edgar Allan Poe","Juvenile Fiction",http://books.google.com/books/content?id=JqYNQ69A3kIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0778308383,Arrowood,"Mick Finlay",Fiction,http://books.google.com/books/content?id=ezLCtQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0778368815,"The Designs of Lord Randolph Cavanaugh","Stephanie Laurens",Fiction,http://books.google.com/books/content?id=gnHetAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0778369307,"The Murder Pit","Mick Finlay",Fiction,http://books.google.com/books/content?id=hwXMtAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0786812931,Oasis,"Gregory Maguire","Juvenile Fiction",http://books.google.com/books/content?id=HR6hfCibROMC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0787305235,"Prophecies of Melchi-Zedek in the Great Pyramid & the Seven Temples","Brown Landone","Body, Mind & Spirit",http://books.google.com/books/content?id=4hcmc_bRjRgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0787305251,"Unconsciously Freeing the Body","Brown Landone",,http://books.google.com/books/content?id=owmDGYNJp4wC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0787309605,"The Finer Forces of Nature in Diagnosis and Therapy","George S. White",,http://books.google.com/books/content?id=7BOv4DR99JUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0787309621,"Prostatic Diseases","George S. White",,http://books.google.com/books/content?id=8LcPgm0fQiUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
078730963X,"Intestinal Normalizing and Pelvic Culture for Women","George S. White",,http://books.google.com/books/content?id=SPlORZ1YFssC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0787310166,Diabetes,"Wm Brady",,http://books.google.com/books/content?id=Lkruh_P-UpkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0787310336,"Mysterious Catalytic Foods","Brown Landone",,http://books.google.com/books/content?id=3XhFdykN2FAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0787310441,"Soul Catalysts and How to Use Them","Brown Landone",,http://books.google.com/books/content?id=MQc_KCF52lQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0787310719,"How to Change Any Habit","Brown Landone",Self-Help,http://books.google.com/books/content?id=BKFBCEPtSesC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0787310727,"Your Electronic Body and Electronic Potentials of Food","Brown Landone",,http://books.google.com/books/content?id=QssaccifBBYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0787310972,"Spiritual Revelations of the Bible","Brown Landone",,http://books.google.com/books/content?id=JxmfQJMZyrcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0787311081,"The A-B-C of Truth","Brown Landone","Body, Mind & Spirit",http://books.google.com/books/content?id=SmRIjuuI5RMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0787311472,"The Breath of Youth","Brown Landone",,http://books.google.com/books/content?id=lZw2qANFOpMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0787312495,"Landone Assorted Titles","Brown Landone",,http://books.google.com/books/content?id=r5bJ_ydBntgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0791430197,Interruptions,"Hans-Jost Frey","Literary Criticism",http://books.google.com/books/content?id=NIuF2n6-N-8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0798808632,"A Laboratory Process for Dyeing Wool-orlon 42 Blends from a Charged Solvent System","M. B. Roberts",,
0802081401,"Redirecting Philosophy","Hugo Anthony Meynell",Philosophy,http://books.google.com/books/content?id=jvq7ZkhjDhkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0802085601,"Renegade Lawyer","Laurel Sefton MacDowell","Biography & Autobiography",http://books.google.com/books/content?id=hMMoEDbR_LsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0802129307,"House Arrest","Mike Lawson",Fiction,http://books.google.com/books/content?id=R2KjtwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0802144179,"So Brave, Young, and Handsome","Leif Enger",Fiction,http://books.google.com/books/content?id=AZZSmQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
080219995X,"House Secrets","Mike Lawson",Fiction,http://books.google.com/books/content?id=h08da0nlfIgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
080328246X,"A Guide to the Indian Wars of the West","John Dishon McDermott",History,http://books.google.com/books/content?id=5LwDIDXDIWQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0804172064,"China Rich Girlfriend","Kevin Kwan",Fiction,http://books.google.com/books/content?id=-iomjwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0804901287,"The Brothers Karamazov","Fedor Mihajlovič Dostoevskij",Fiction,
0804901457,"Crime and Punishment","Fyodor Dostoyevsky","English fiction",
0805082042,"Lunch Box Mail and Other Poems","Jenny Whitehead","Juvenile Nonfiction",http://books.google.com/books/content?id=B1qsp0Xr3ZoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0806136995,Michener,"Stephen James May","Biography & Autobiography",http://books.google.com/books/content?id=gfsAiiiWSZgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0806908203,"Edgar Allan Poe","Edgar Allan Poe","Juvenile Nonfiction",http://books.google.com/books/content?id=4pQuQqWibMsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0806978457,"Reflexology Basics","Denise Whichello Brown","Health & Fitness",http://books.google.com/books/content?id=g71x_ze6rGsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0807028274,"The Family of Adoption","Joyce Maguire Pavao","Family & Relationships",http://books.google.com/books/content?id=-N1_it2CwnMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
080713824X,"Evangelicalism and the Politics of Reform in Northern Black Thought, 1776-1863","Rita Roberts",History,http://books.google.com/books/content?id=XmissHm08IEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
080900139X,"Modern American Usage","Wilson Follett","Language Arts & Disciplines",http://books.google.com/books/content?id=KgVpvTpFgU8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0809389223,"Feminism Beyond Modernism","Flynn, Elizabeth A",Feminism,http://books.google.com/books/content?id=gcpZ9QyKsOoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0810115166,"Writer's Diary Volume 1","Fyodor Dostoevsky","Biography & Autobiography",http://books.google.com/books/content?id=38xQHS4h0yEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0810115174,"A Writer's Diary Volume 2","Fyodor Dostoevsky","Biography & Autobiography",http://books.google.com/books/content?id=QTDec-ogPysC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0810150824,"The Logic of Opposites","Alane Rollings",Poetry,http://books.google.com/books/content?id=451nkgj904IC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0810806541,"Read for Your Life","Julia Reed Palmer",Education,http://books.google.com/books/content?id=HsgYAAAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0810872927,"Children's Theater","Kelly Eggers","Performing Arts",http://books.google.com/books/content?id=mjw9kOHiGcMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0811213048,Annotations,"John Keene",Fiction,http://books.google.com/books/content?id=j9i0j4YqqpEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0811700682,"Spring Creeks","Mike Lawson","Sports & Recreation",http://books.google.com/books/content?id=olNrQEpheMAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0812543262,Relic,"Douglas Preston",Fiction,http://books.google.com/books/content?id=P4CBP9MvoswC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0813918316,"Earth Works","Nancy Hugo",Gardening,http://books.google.com/books/content?id=OcsqrkeizeUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0815603207,"A Reader's Guide to James Joyce","William York Tindall","Literary Criticism",http://books.google.com/books/content?id=k8u4LhSjIBcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0815798709,"Yen Bloc","C.H. Kwan","Political Science",http://books.google.com/books/content?id=ALOJDoUy7rUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0819511579,"In Your Own Sweet Time","Alane Rollings",Poetry,http://books.google.com/books/content?id=KpV3yU5UD9IC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0820471402,"Innovation and Tradition","Jane Kenway","Social Science",http://books.google.com/books/content?id=uDm4jLCU_LsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0821720686,"U. S. S. A.","James N. Frey",Fiction,
0821896180,"Sixteen Papers on Topology and One on Game Theory","Chow Sho-kwan",,http://books.google.com/books/content?id=emmHE97LyhgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0822222108,"Sunset Limited","Cormac McCarthy","Performing Arts",http://books.google.com/books/content?id=flJlyc5ml7YC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0822513870,"From Milk to Cheese","Shannon Zemlicka","Juvenile Nonfiction",http://books.google.com/books/content?id=3Y3jyBMx5aMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0822528290,Mayors,"Shannon Knudsen","Juvenile Nonfiction",http://books.google.com/books/content?id=_2TAgXeRqgUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0822534835,"African Elephants","Shannon Knudsen","Juvenile Nonfiction",http://books.google.com/books/content?id=zARON5Lw4nEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0822536137,"Flying Brown Pelicans","Anne Welsbacher","Juvenile Nonfiction",http://books.google.com/books/content?id=IrpFQaP6Ed0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0822537737,"Mallard Ducks","Shannon Zemlicka","Juvenile Nonfiction",http://books.google.com/books/content?id=mDhu3PSJemQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
